the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp,objectid
,,2022-02-21 05:00:00+00,109,positive,2024-12-09 16:00:01.938486+00,283527
,,2021-10-31 04:00:00+00,2084,negative,2024-12-09 16:00:01.938486+00,283528
,,2022-10-21 04:00:00+00,151,positive,2024-12-09 16:00:01.938486+00,283529
,,2022-02-13 05:00:00+00,1421,negative,2024-12-09 16:00:01.938486+00,283530
,,2020-06-30 04:00:00+00,2719,negative,2024-12-09 16:00:01.938486+00,283531
,,2023-08-21 04:00:00+00,128,negative,2024-12-09 16:00:01.938486+00,283532
,,2022-06-26 04:00:00+00,1269,negative,2024-12-09 16:00:01.938486+00,283533
,,2021-10-07 04:00:00+00,329,positive,2024-12-09 16:00:01.938486+00,283534
,,2024-01-07 05:00:00+00,122,positive,2024-12-09 16:00:01.938486+00,283535
,,2021-01-21 05:00:00+00,9567,negative,2024-12-09 16:00:01.938486+00,283536
,,2023-07-03 04:00:00+00,86,negative,2024-12-09 16:00:01.938486+00,283537
,,2023-03-10 05:00:00+00,68,positive,2024-12-09 16:00:01.938486+00,283538
,,2021-06-05 04:00:00+00,42,positive,2024-12-09 16:00:01.938486+00,283539
,,2023-09-17 04:00:00+00,127,negative,2024-12-09 16:00:01.938486+00,283540
,,2022-01-27 05:00:00+00,6906,negative,2024-12-09 16:00:01.938486+00,283541
,,2022-05-30 04:00:00+00,1157,negative,2024-12-09 16:00:01.938486+00,283542
,,2024-01-12 05:00:00+00,149,positive,2024-12-09 16:00:01.938486+00,283543
,,2021-09-22 04:00:00+00,350,positive,2024-12-09 16:00:01.938486+00,283544
,,2022-10-16 04:00:00+00,118,positive,2024-12-09 16:00:01.938486+00,283545
,,2020-07-17 04:00:00+00,3730,negative,2024-12-09 16:00:01.938486+00,283546
,,2022-09-11 04:00:00+00,1009,negative,2024-12-09 16:00:01.938486+00,283547
,,2021-12-19 05:00:00+00,547,positive,2024-12-09 16:00:01.938486+00,283548
,,2021-08-28 04:00:00+00,3201,negative,2024-12-09 16:00:01.938486+00,283549
,,2023-10-16 04:00:00+00,96,positive,2024-12-09 16:00:01.938486+00,283550
,,2024-02-16 05:00:00+00,179,negative,2024-12-09 16:00:01.938486+00,283551
,,2020-08-25 04:00:00+00,118,positive,2024-12-09 16:00:01.938486+00,283552
,,2020-04-04 04:00:00+00,960,negative,2024-12-09 16:00:01.938486+00,283553
,,2022-05-01 04:00:00+00,163,positive,2024-12-09 16:00:01.938486+00,283554
,,2024-02-02 05:00:00+00,128,positive,2024-12-09 16:00:01.938486+00,283555
,,2022-05-19 04:00:00+00,3057,negative,2024-12-09 16:00:01.938486+00,283556
,,2022-09-25 04:00:00+00,99,positive,2024-12-09 16:00:01.938486+00,283557
,,2021-09-11 04:00:00+00,241,positive,2024-12-09 16:00:01.938486+00,283558
,,2020-08-07 04:00:00+00,3263,negative,2024-12-09 16:00:01.938486+00,283559
,,2023-09-28 04:00:00+00,228,negative,2024-12-09 16:00:01.938486+00,283560
,,2020-03-21 04:00:00+00,94,positive,2024-12-09 16:00:01.938486+00,283561
,,2022-01-06 05:00:00+00,8386,negative,2024-12-09 16:00:01.938486+00,283562
,,2021-05-10 04:00:00+00,10688,negative,2024-12-09 16:00:01.938486+00,283563
,,2023-06-27 04:00:00+00,19,positive,2024-12-09 16:00:01.938486+00,283564
,,2021-01-15 05:00:00+00,554,positive,2024-12-09 16:00:01.938486+00,283565
,,2023-02-12 05:00:00+00,650,negative,2024-12-09 16:00:01.938486+00,283566
,,2022-12-18 05:00:00+00,1165,negative,2024-12-09 16:00:01.938486+00,283567
,,2020-11-04 05:00:00+00,651,positive,2024-12-09 16:00:01.938486+00,283568
,,2023-04-16 04:00:00+00,7,positive,2024-12-09 16:00:01.938486+00,283569
,,2021-03-15 04:00:00+00,7821,negative,2024-12-09 16:00:01.938486+00,283570
